experiment_id,timestamp,image,condition,cer,wer,model,inference_mode,notes
EXP-004j,2026-09-17T14:00:00+05:30,MT-013,original,0.293,0.741,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,54.0s warm; S26/D17/I6
EXP-004k,2026-09-17T14:00:00+05:30,MT-014,original,0.131,0.409,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,30.7s warm; S7/D9/I4
EXP-004l,2026-09-17T14:00:00+05:30,MT-015,original,0.129,0.393,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,53.0s warm; S20/D2/I1
EXP-004m,2026-09-17T14:00:00+05:30,MT-016,original,0.255,0.667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,42.6s warm; S30/D4/I16
EXP-004n,2026-09-17T14:00:00+05:30,MT-017,original,0.327,0.867,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,25.9s warm; S15/D5/I14
EXP-004o,2026-09-17T14:00:00+05:30,MT-018,original,0.361,0.793,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,55.3s warm; S42/D8/I15
EXP-004p,2026-09-17T14:00:00+05:30,MT-019,original,0.236,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,45.8s warm; S25/D11/I12
EXP-004q,2026-09-17T14:00:00+05:30,MT-020,original,0.256,0.692,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,45.8s warm; S34/D5/I12
EXP-005-grayscale-MT-001,2026-09-17,MT (MT-001),grayscale,0.1712,0.381,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-001_hyp.txt
EXP-005-grayscale-MT-002,2026-09-17,MT (MT-002),grayscale,0.0989,0.2857,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-002_hyp.txt
EXP-005-grayscale-MT-003,2026-09-17,MT (MT-003),grayscale,0.5667,0.9545,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-003_hyp.txt
EXP-005-grayscale-MT-004,2026-09-17,MT (MT-004),grayscale,0.1368,0.4,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-004_hyp.txt
EXP-005-grayscale-MT-005,2026-09-17,MT (MT-005),grayscale,0.479,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-005_hyp.txt
EXP-005-grayscale-MT-006,2026-09-17,MT (MT-006),grayscale,0.2389,0.55,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-006_hyp.txt
EXP-005-grayscale-MT-007,2026-09-17,MT (MT-007),grayscale,0.4932,0.8462,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-007_hyp.txt
EXP-005-grayscale-MT-008,2026-09-17,MT (MT-008),grayscale,0.539,0.9259,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-008_hyp.txt
EXP-005-grayscale-MT-009,2026-09-17,MT (MT-009),grayscale,0.4286,0.7692,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-009_hyp.txt
EXP-005-grayscale-MT-010,2026-09-17,MT (MT-010),grayscale,0.3592,0.7619,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-010_hyp.txt
EXP-005-grayscale-MT-011,2026-09-17,MT (MT-011),grayscale,0.5496,0.913,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-011_hyp.txt
EXP-005-grayscale-MT-012,2026-09-17,MT (MT-012),grayscale,0.2796,0.8667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-012_hyp.txt
EXP-005-grayscale-MT-013,2026-09-17,MT (MT-013),grayscale,0.2934,0.7407,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-013_hyp.txt
EXP-005-grayscale-MT-014,2026-09-17,MT (MT-014),grayscale,0.1307,0.4091,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-014_hyp.txt
EXP-005-grayscale-MT-015,2026-09-17,MT (MT-015),grayscale,0.1292,0.3929,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-015_hyp.txt
EXP-005-grayscale-MT-016,2026-09-17,MT (MT-016),grayscale,0.2551,0.6667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-016_hyp.txt
EXP-005-grayscale-MT-017,2026-09-17,MT (MT-017),grayscale,0.3269,0.8667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-017_hyp.txt
EXP-005-grayscale-MT-018,2026-09-17,MT (MT-018),grayscale,0.3611,0.7931,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-018_hyp.txt
EXP-005-grayscale-MT-019,2026-09-17,MT (MT-019),grayscale,0.2365,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-019_hyp.txt
EXP-005-grayscale-MT-020,2026-09-17,MT (MT-020),grayscale,0.2563,0.6923,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_grayscale_MT-020_hyp.txt
EXP-005-denoised-MT-001,2026-09-17,MT (MT-001),denoised,0.1261,0.3333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-001_hyp.txt
EXP-005-denoised-MT-002,2026-09-17,MT (MT-002),denoised,0.1209,0.2857,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-002_hyp.txt
EXP-005-denoised-MT-003,2026-09-17,MT (MT-003),denoised,0.55,0.9545,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-003_hyp.txt
EXP-005-denoised-MT-004,2026-09-17,MT (MT-004),denoised,0.1684,0.4333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-004_hyp.txt
EXP-005-denoised-MT-005,2026-09-17,MT (MT-005),denoised,0.5294,0.95,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-005_hyp.txt
EXP-005-denoised-MT-006,2026-09-17,MT (MT-006),denoised,0.2478,0.6,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-006_hyp.txt
EXP-005-denoised-MT-007,2026-09-17,MT (MT-007),denoised,0.4795,0.8462,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-007_hyp.txt
EXP-005-denoised-MT-008,2026-09-17,MT (MT-008),denoised,0.5177,0.9259,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-008_hyp.txt
EXP-005-denoised-MT-009,2026-09-17,MT (MT-009),denoised,0.449,0.8846,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-009_hyp.txt
EXP-005-denoised-MT-010,2026-09-17,MT (MT-010),denoised,0.4648,0.8571,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-010_hyp.txt
EXP-005-denoised-MT-011,2026-09-17,MT (MT-011),denoised,0.4198,0.7826,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-011_hyp.txt
EXP-005-denoised-MT-012,2026-09-17,MT (MT-012),denoised,0.3226,0.8,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-012_hyp.txt
EXP-005-denoised-MT-013,2026-09-17,MT (MT-013),denoised,0.3234,0.7407,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-013_hyp.txt
EXP-005-denoised-MT-014,2026-09-17,MT (MT-014),denoised,0.1373,0.4091,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-014_hyp.txt
EXP-005-denoised-MT-015,2026-09-17,MT (MT-015),denoised,0.1292,0.4643,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-015_hyp.txt
EXP-005-denoised-MT-016,2026-09-17,MT (MT-016),denoised,0.2398,0.6,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-016_hyp.txt
EXP-005-denoised-MT-017,2026-09-17,MT (MT-017),denoised,0.3462,0.8667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-017_hyp.txt
EXP-005-denoised-MT-018,2026-09-17,MT (MT-018),denoised,0.3778,0.7931,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-018_hyp.txt
EXP-005-denoised-MT-019,2026-09-17,MT (MT-019),denoised,0.2167,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-019_hyp.txt
EXP-005-denoised-MT-020,2026-09-17,MT (MT-020),denoised,0.2462,0.6667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_denoised_MT-020_hyp.txt
EXP-005-enhanced-MT-001,2026-09-17,MT (MT-001),enhanced,0.1261,0.3333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-001_hyp.txt
EXP-005-enhanced-MT-002,2026-09-17,MT (MT-002),enhanced,0.1209,0.2857,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-002_hyp.txt
EXP-005-enhanced-MT-003,2026-09-17,MT (MT-003),enhanced,0.5,0.8636,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-003_hyp.txt
EXP-005-enhanced-MT-004,2026-09-17,MT (MT-004),enhanced,0.1737,0.4667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-004_hyp.txt
EXP-005-enhanced-MT-005,2026-09-17,MT (MT-005),enhanced,0.5798,0.95,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-005_hyp.txt
EXP-005-enhanced-MT-006,2026-09-17,MT (MT-006),enhanced,0.2389,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-006_hyp.txt
EXP-005-enhanced-MT-007,2026-09-17,MT (MT-007),enhanced,0.4521,0.8462,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-007_hyp.txt
EXP-005-enhanced-MT-008,2026-09-17,MT (MT-008),enhanced,0.5035,0.8519,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-008_hyp.txt
EXP-005-enhanced-MT-009,2026-09-17,MT (MT-009),enhanced,0.4286,0.8462,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-009_hyp.txt
EXP-005-enhanced-MT-010,2026-09-17,MT (MT-010),enhanced,0.3592,0.7143,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-010_hyp.txt
EXP-005-enhanced-MT-011,2026-09-17,MT (MT-011),enhanced,0.5573,0.8696,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-011_hyp.txt
EXP-005-enhanced-MT-012,2026-09-17,MT (MT-012),enhanced,0.3011,0.8,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-012_hyp.txt
EXP-005-enhanced-MT-013,2026-09-17,MT (MT-013),enhanced,0.3353,0.7778,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-013_hyp.txt
EXP-005-enhanced-MT-014,2026-09-17,MT (MT-014),enhanced,0.1438,0.4091,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-014_hyp.txt
EXP-005-enhanced-MT-015,2026-09-17,MT (MT-015),enhanced,0.1292,0.3929,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-015_hyp.txt
EXP-005-enhanced-MT-016,2026-09-17,MT (MT-016),enhanced,0.2347,0.5333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-016_hyp.txt
EXP-005-enhanced-MT-017,2026-09-17,MT (MT-017),enhanced,0.4038,0.9333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-017_hyp.txt
EXP-005-enhanced-MT-018,2026-09-17,MT (MT-018),enhanced,0.3722,0.8276,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-018_hyp.txt
EXP-005-enhanced-MT-019,2026-09-17,MT (MT-019),enhanced,0.2414,0.6,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-019_hyp.txt
EXP-005-enhanced-MT-020,2026-09-17,MT (MT-020),enhanced,0.3668,0.7692,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_enhanced_MT-020_hyp.txt
EXP-005-binarized-MT-001,2026-09-17,MT (MT-001),binarized,0.1261,0.2857,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-001_hyp.txt
EXP-005-binarized-MT-002,2026-09-17,MT (MT-002),binarized,0.1758,0.2857,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-002_hyp.txt
EXP-005-binarized-MT-003,2026-09-17,MT (MT-003),binarized,0.6417,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-003_hyp.txt
EXP-005-binarized-MT-004,2026-09-17,MT (MT-004),binarized,0.1737,0.4333,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-004_hyp.txt
EXP-005-binarized-MT-005,2026-09-17,MT (MT-005),binarized,0.4958,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-005_hyp.txt
EXP-005-binarized-MT-006,2026-09-17,MT (MT-006),binarized,0.4513,0.85,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-006_hyp.txt
EXP-005-binarized-MT-007,2026-09-17,MT (MT-007),binarized,0.5342,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-007_hyp.txt
EXP-005-binarized-MT-008,2026-09-17,MT (MT-008),binarized,0.5319,0.8889,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-008_hyp.txt
EXP-005-binarized-MT-009,2026-09-17,MT (MT-009),binarized,0.4762,0.9615,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-009_hyp.txt
EXP-005-binarized-MT-010,2026-09-17,MT (MT-010),binarized,0.4507,0.8571,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-010_hyp.txt
EXP-005-binarized-MT-011,2026-09-17,MT (MT-011),binarized,0.5649,0.8261,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-011_hyp.txt
EXP-005-binarized-MT-012,2026-09-17,MT (MT-012),binarized,0.3441,0.8,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-012_hyp.txt
EXP-005-binarized-MT-013,2026-09-17,MT (MT-013),binarized,0.3054,0.7407,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-013_hyp.txt
EXP-005-binarized-MT-014,2026-09-17,MT (MT-014),binarized,0.1438,0.4091,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-014_hyp.txt
EXP-005-binarized-MT-015,2026-09-17,MT (MT-015),binarized,0.1404,0.4286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-015_hyp.txt
EXP-005-binarized-MT-016,2026-09-17,MT (MT-016),binarized,0.3112,0.7667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-016_hyp.txt
EXP-005-binarized-MT-017,2026-09-17,MT (MT-017),binarized,0.3942,1.0,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-017_hyp.txt
EXP-005-binarized-MT-018,2026-09-17,MT (MT-018),binarized,0.3778,0.7931,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-018_hyp.txt
EXP-005-binarized-MT-019,2026-09-17,MT (MT-019),binarized,0.1872,0.575,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-019_hyp.txt
EXP-005-binarized-MT-020,2026-09-17,MT (MT-020),binarized,0.2764,0.6667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_binarized_MT-020_hyp.txt
EXP-005-deskewed-MT-001,2026-09-17,MT (MT-001),deskewed,0.1081,0.381,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-001_hyp.txt
EXP-005-deskewed-MT-002,2026-09-17,MT (MT-002),deskewed,0.1538,0.3571,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-002_hyp.txt
EXP-005-deskewed-MT-003,2026-09-17,MT (MT-003),deskewed,0.5667,0.9545,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-003_hyp.txt
EXP-005-deskewed-MT-004,2026-09-17,MT (MT-004),deskewed,0.1368,0.4,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-004_hyp.txt
EXP-005-deskewed-MT-005,2026-09-17,MT (MT-005),deskewed,0.3782,0.75,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-005_hyp.txt
EXP-005-deskewed-MT-006,2026-09-17,MT (MT-006),deskewed,0.2389,0.55,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-006_hyp.txt
EXP-005-deskewed-MT-007,2026-09-17,MT (MT-007),deskewed,0.4795,0.8462,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-007_hyp.txt
EXP-005-deskewed-MT-008,2026-09-17,MT (MT-008),deskewed,0.539,0.9259,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-008_hyp.txt
EXP-005-deskewed-MT-009,2026-09-17,MT (MT-009),deskewed,0.4762,0.9231,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-009_hyp.txt
EXP-005-deskewed-MT-010,2026-09-17,MT (MT-010),deskewed,0.3592,0.7619,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-010_hyp.txt
EXP-005-deskewed-MT-011,2026-09-17,MT (MT-011),deskewed,0.5496,0.913,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-011_hyp.txt
EXP-005-deskewed-MT-012,2026-09-17,MT (MT-012),deskewed,0.3011,0.8,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-012_hyp.txt
EXP-005-deskewed-MT-013,2026-09-17,MT (MT-013),deskewed,0.3952,0.7778,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-013_hyp.txt
EXP-005-deskewed-MT-014,2026-09-17,MT (MT-014),deskewed,0.1373,0.4091,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-014_hyp.txt
EXP-005-deskewed-MT-015,2026-09-17,MT (MT-015),deskewed,0.1629,0.5,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,hyp experiments/results/sweep/EXP-005_deskewed_MT-015_hyp.txt
